"Haupt";"Mitte";"Unter";"Adresse"
"Zentral";;;"0/-/-"
;"Haus";;"0/0/-"
;;"Zentral Aus";"0/0/0"
;;"Haus verlassen";"0/0/1"
;;"Nachtmodus";"0/0/2"
;;"Urlaub";"0/0/3"
;;"Panik";"0/0/4"
;"Rollladen";;"0/1/-"
;;"Alle Rollladen Auf / Ab";"0/1/0"
;;"Alle Rollladen Stop / Schritt";"0/1/1"
;"Beschattung";;"0/2/-"
;;"Beschattungsautomatik Freigabe";"0/2/0"
;;"Beschattungsautomatik Status";"0/2/1"
;;"Markise Einfahren Schutz";"0/2/2"
;;"Wetterschutz Aktiv Status";"0/2/3"
;"Heizung";;"0/3/-"
;;"Heizung Zentral Betriebsart Soll";"0/3/0"
;;"Heizung Zentral Betriebsart Status";"0/3/1"
"Licht";;;"1/-/-"
;"Wohnzimmer";;"1/0/-"
;;"Wohnzimmer Licht Schalten";"1/0/0"
;;"Wohnzimmer Licht Status";"1/0/1"
;"Esszimmer";;"1/1/-"
;;"Esszimmer Licht Schalten";"1/1/0"
;;"Esszimmer Licht Status";"1/1/1"
;"Küche";;"1/2/-"
;;"Küche Licht Schalten";"1/2/0"
;;"Küche Licht Status";"1/2/1"
;"Arbeitszimmer";;"1/3/-"
;;"Arbeitszimmer Licht Schalten";"1/3/0"
;;"Arbeitszimmer Licht Status";"1/3/1"
;"Gang";;"1/4/-"
;;"Gang Licht Schalten";"1/4/0"
;;"Gang Licht Status";"1/4/1"
;"Schlafzimmer";;"1/5/-"
;;"Schlafzimmer Licht Schalten";"1/5/0"
;;"Schlafzimmer Licht Status";"1/5/1"
;"Badezimmer";;"1/6/-"
;;"Badezimmer Licht Schalten";"1/6/0"
;;"Badezimmer Licht Status";"1/6/1"
;"Bad vorne";;"1/7/-"
;;"Bad vorne Licht Schalten";"1/7/0"
;;"Bad vorne Licht Status";"1/7/1"
"Beschattung";;;"2/-/-"
;"Wohnzimmer";;"2/0/-"
;;"Wohnzimmer Rollladen links Auf Ab";"2/0/0"
;;"Wohnzimmer Rollladen links Stop";"2/0/1"
;;"Wohnzimmer Rollladen links Position Soll";"2/0/2"
;;"Wohnzimmer Rollladen links Position Status";"2/0/3"
;;"Wohnzimmer Rollladen rechts Auf Ab";"2/0/10"
;;"Wohnzimmer Rollladen rechts Stop";"2/0/11"
;;"Wohnzimmer Rollladen rechts Position Soll";"2/0/12"
;;"Wohnzimmer Rollladen rechts Position Status";"2/0/13"
;"Arbeitszimmer";;"2/1/-"
;;"Arbeitszimmer Rollladen Auf Ab";"2/1/0"
;;"Arbeitszimmer Rollladen Stop";"2/1/1"
;;"Arbeitszimmer Rollladen Position Soll";"2/1/2"
;;"Arbeitszimmer Rollladen Position Status";"2/1/3"
;"Schlafzimmer";;"2/2/-"
;;"Schlafzimmer Rollladen links Auf Ab";"2/2/0"
;;"Schlafzimmer Rollladen links Stop";"2/2/1"
;;"Schlafzimmer Rollladen links Position Soll";"2/2/2"
;;"Schlafzimmer Rollladen links Position Status";"2/2/3"
;;"Schlafzimmer Rollladen rechts Auf Ab";"2/2/10"
;;"Schlafzimmer Rollladen rechts Stop";"2/2/11"
;;"Schlafzimmer Rollladen rechts Position Soll";"2/2/12"
;;"Schlafzimmer Rollladen rechts Position Status";"2/2/13"
;"Badezimmer";;"2/3/-"
;;"Badezimmer Rollladen Auf Ab";"2/3/0"
;;"Badezimmer Rollladen Stop";"2/3/1"
;;"Badezimmer Rollladen Position Soll";"2/3/2"
;;"Badezimmer Rollladen Position Status";"2/3/3"
;"Markise";;"2/4/-"
;;"Markise Auf Ab";"2/4/0"
;;"Markise Stop";"2/4/1"
;;"Markise Position Soll";"2/4/2"
;;"Markise Position Status";"2/4/3"
;;"Markise Gesperrt";"2/4/4"
"Heizung";;;"3/-/-"
;"Wohnzimmer";;"3/0/-"
;;"Wohnzimmer Solltemperatur";"3/0/0"
;;"Wohnzimmer Isttemperatur";"3/0/1"
;;"Wohnzimmer Betriebsmodus";"3/0/2"
;;"Wohnzimmer Ventilstellung";"3/0/3"
;;"Wohnzimmer Fensterstatus Raum";"3/0/4"
;"Esszimmer";;"3/1/-"
;;"Esszimmer Solltemperatur";"3/1/0"
;;"Esszimmer Isttemperatur";"3/1/1"
;;"Esszimmer Betriebsmodus";"3/1/2"
;;"Esszimmer Ventilstellung";"3/1/3"
;;"Esszimmer Fensterstatus Raum";"3/1/4"
;"Küche";;"3/2/-"
;;"Küche Solltemperatur";"3/2/0"
;;"Küche Isttemperatur";"3/2/1"
;;"Küche Betriebsmodus";"3/2/2"
;;"Küche Ventilstellung";"3/2/3"
;;"Küche Fensterstatus Raum";"3/2/4"
;"Arbeitszimmer";;"3/3/-"
;;"Arbeitszimmer Solltemperatur";"3/3/0"
;;"Arbeitszimmer Isttemperatur";"3/3/1"
;;"Arbeitszimmer Betriebsmodus";"3/3/2"
;;"Arbeitszimmer Ventilstellung";"3/3/3"
;;"Arbeitszimmer Fensterstatus Raum";"3/3/4"
;"Gang";;"3/4/-"
;;"Gang Solltemperatur";"3/4/0"
;;"Gang Isttemperatur";"3/4/1"
;;"Gang Betriebsmodus";"3/4/2"
;;"Gang Ventilstellung";"3/4/3"
;;"Gang Fensterstatus Raum";"3/4/4"
;"Schlafzimmer";;"3/5/-"
;;"Schlafzimmer Solltemperatur";"3/5/0"
;;"Schlafzimmer Isttemperatur";"3/5/1"
;;"Schlafzimmer Betriebsmodus";"3/5/2"
;;"Schlafzimmer Ventilstellung";"3/5/3"
;;"Schlafzimmer Fensterstatus Raum";"3/5/4"
;"Badezimmer";;"3/6/-"
;;"Badezimmer Solltemperatur";"3/6/0"
;;"Badezimmer Isttemperatur";"3/6/1"
;;"Badezimmer Betriebsmodus";"3/6/2"
;;"Badezimmer Ventilstellung";"3/6/3"
;;"Badezimmer Fensterstatus Raum";"3/6/4"
;"Bad vorne";;"3/7/-"
;;"Bad vorne Solltemperatur";"3/7/0"
;;"Bad vorne Isttemperatur";"3/7/1"
;;"Bad vorne Betriebsmodus";"3/7/2"
;;"Bad vorne Ventilstellung";"3/7/3"
;;"Bad vorne Fensterstatus Raum";"3/7/4"
"Wetter";;;"4/-/-"
;"Allgemein";;"4/0/-"
;;"Außentemperatur";"4/0/0"
;;"Windgeschwindigkeit";"4/0/1"
;;"Regen";"4/0/2"
;;"Dämmerung";"4/0/3"
;"Helligkeit";;"4/1/-"
;;"Helligkeit Ost";"4/1/0"
;;"Helligkeit Süd";"4/1/1"
;;"Helligkeit West";"4/1/2"
;"Alarm";;"4/2/-"
;;"Windwarnung";"4/2/0"
;;"Windalarm";"4/2/1"
;;"Regenalarm";"4/2/2"
;;"Frostalarm";"4/2/3"
;"Beschattung";;"4/3/-"
;;"Sonne Ost Aktiv";"4/3/0"
